,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
88,5.66102974,31.7374545,0.388721608,1261,1858.5,2477,10.27,15.7475,20.46,5.999301,7.89868275,9.0096,2.952926445,0.573102859,148.25,31,45.5,52,65,79.75,90,302.91,745.79,1234.93,11,14,16,4,4.75,5,122,135.75,145,1.81,1.985,2.1,1,1.75,2,0,2.25,4,10,10,10,0,0,0,16.33,26.17854167,34.76333333,2,2.25,3,69.723,108.1978,127.6,1.3,1.425,1.6,2.829630599
89,5.324385941,36.60977948,0.391306987,457.4,1446.2,2435,10.27,17.995,25.72,7.57623,9.013745,10.45126,3.091446509,0.615479709,144.5,47,50,53,65,80.5,96,386.85,810.89,1234.93,11,14,17,5,5,5,139,142,145,1.93,2.295,2.66,1,1.5,2,0,2.5,5,10,10,10,0,0,0,16.33,29.6725,43.015,2,2.5,3,107.8682,117.386335,126.90447,1.4,1.5,1.6,2.194853635
90,5.443594904,29.02546365,0.391872021,958,1674,2435,10.27,14.7175,16.42,5.78636,8.2168425,9.75239,2.864476651,0.575145927,98,34,41,49,65,79.5,89,429.75,663.17,1234.93,11,14,16,4,4.5,5,120,131.75,145,1.78,2.2025,2.55,1,1.75,2,0,2.25,4,10,10,10,0,0,0,16.33,23.1075,25.92,2,2.25,3,78.96,95.15155,114.818,1.15,1.3625,1.6,3.004185779
91,3.590699212,23.56284008,0.308788268,887,1839.5,2792,10,11.475,12.95,5.985768,7.887184,9.7886,2.669143423,0.615479709,195.5,13,23,33,73,78.5,84,933.47,1011.735,1090,13,14,15,3,3.5,4,119,120,121,1.61,1.895,2.18,2,2,2,1,2,3,0,5,10,0,0,0,16.48,19.3275,22.175,2,2,2,26.9815386,50.9515693,74.9216,1.15,1.2,1.25,3.73659676
92,2.745535058,28.02418568,0.800237253,887,1297.666667,2792,10,25.26,45.94,4.3406633,6.5638951,9.7886,3.27141085,0.866501177,207.3333333,11,21.33333333,33,2,41.5,84,336.53,692.9,1090,1,7.666666667,15,3,3.666666667,4,119,155.1666667,203,0.82,1.423333333,2.18,1,1.5,2,0,1.166666667,3,0,3.333333333,10,0,0,0,16.48,39.38111111,73.10666667,1,1.5,2,22.98976928,46.33518465,74.9216,1.15,1.625,2.2,2.625192984
93,2.728977687,24.92695454,0.629904178,887,1339,2792,10,17.87333333,23.78,5.139076,6.830032667,9.7886,3.121750918,0.875381638,207.3333333,11,18.66666667,33,2,41.16666667,84,370.87,704.3466667,1090,1,7.666666667,15,3,3.333333333,4,119,142.8333333,166,0.93,1.46,2.18,1,1.5,2,0,1.166666667,3,0,3.333333333,10,0,0,0,16.48,24.76,29.24333333,1,1.5,2,22.98976928,40.96567441,74.9216,1.15,1.491666667,1.8,2.639583227
94,3.528853039,25.00561099,0.574614938,887,1532,2792,10,18.20714286,26.2,5.985768,7.670149714,9.7886,3.073959732,0.752053124,199.7142857,13,24.57142857,33,7,49.42857143,84,933.47,1078.352857,1115,2,9.142857143,15,3,3.857142857,4,119,143.7142857,176,1,1.592857143,2.18,2,2,2,0,1.428571429,3,0,4.285714286,10,0,0,0,16.48,28.045,37.77,1,1.571428571,2,26.9815386,53.14004837,74.9216,1.15,1.442857143,1.8,3.662896723
95,3.046617276,25.56111733,0.641022921,887,1370.818182,2792,10,19.24909091,26.2,5.139076,7.172443273,9.7886,3.164246781,0.890706011,204.6363636,11,21.63636364,33,2,39.63636364,84,370.87,886.4618182,1115,1,7.454545455,15,3,3.636363636,4,119,147.5454545,176,0.93,1.465454545,2.18,1,1.727272727,2,0,1.181818182,3,0,3.636363636,10,0,0,0,16.48,27.83818182,37.77,1,1.454545455,2,22.98976928,46.89738604,74.9216,1.15,1.513636364,1.8,3.083861523
96,9.21303003,11.53284635,0.439977745,90.2,1525.35,3129,10,13.7325,17.36,5.985768,10.6118495,13.61805,2.240136802,1.026922597,118.5,8,27,79,66,78.25,87,54.8,595.1,1337.33,11,14,16,2,3.25,6,66,97.25,136,1.61,2.7575,3.44,1,1.75,2,0,2.25,4,0,2.5,10,0,3.5,14,9.105,12.8475,16.7,2,2.25,3,15.9994,63.9867269,196.966569,0.6,0.95,1.35,5.568315142
97,5.689957755,15.30940871,0.788399108,90.2,1291.257143,3743,10,19.99857143,38.16,5.211664,10.178076,13.61805,2.552449586,0.741557081,99.42857143,8,22.57142857,57,9,63.28571429,87,54.8,477.9528571,1193,2,11.71428571,16,2,3.285714286,6,66,115.2857143,215,0.89,2.48,3.44,2,2,2,0,2.428571429,4,0,0.142857143,1,0,0,0,9.105,21.9125,63.59,1,2,3,15.9994,52.45880123,138.90547,0.6,1.107142857,2.15,6.859128536
