formula,sg,kL,bulkmod,composition,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,PymatgenData minimum block,PymatgenData maximum block,PymatgenData mean block,PymatgenData minimum atomic_mass,PymatgenData maximum atomic_mass,PymatgenData mean atomic_mass,PymatgenData minimum atomic_radius,PymatgenData maximum atomic_radius,PymatgenData mean atomic_radius,cohesive energy (MP)
Ca1Ga2O4,62,6.05,161.9,Ca1 Ga2 O4,4.272222378,13.52180584,0.490780637,90.2,1010.257143,2477,11.8,17.03428571,26.2,5.999301,10.36913743,13.61805,2.316969121,0.616976822,8,31,16.28571429,7,87,71.85714286,54.8,1115,277.1457143,2,16,13.14285714,2,4,2.857142857,66,176,97.71428571,1,3.44,2.625714286,2,2,2,0,4,2.571428571,0,10,2.857142857,0,0,0,9.105,37.77,15.98642857,1,2,1.857142857,15.9994,69.723,34.7888,0.6,1.8,0.971428571,5.640753575
Ca1Ga2P2,194,5.06,63.6,Ca1 Ga2 P2,3.735102613,21.47051584,0.477046285,550,1562.2,2477,11.8,16.768,26.2,5.999301,7.8170284,10.48669,2.753774287,0.73718244,15,31,22.4,7,83,64.2,302.91,1115,471.084,2,15,11.6,3,4,3.6,107,176,126.8,1,2.19,1.8,2,2,2,0,3,1.6,0,10,4,0,0,0,18.8575,37.77,24.12509524,1,2,1.8,30.973762,69.723,48.2943048,1,1.8,1.28,3.545204559
Ca1Ga2S4,66,2.67,36.8,Ca1 Ga2 S4,3.235098458,22.56885853,0.377193135,717.87,1368.925714,2477,11.8,15.98857143,26.2,5.999301,8.507400286,10.36001,2.819789313,0.670526205,16,31,20.85714286,7,88,72.42857143,302.91,1115,467.7514286,2,16,13.14285714,3,4,3.428571429,105,176,120,1,2.58,2.134285714,2,2,2,0,4,2.571428571,0,10,2.857142857,0,0,0,18.8575,37.77,25.51892857,1,2,1.857142857,32.065,69.723,43.96914286,1,1.8,1.2,4.395893366
Ca1Ga4O7,15,13.18,99.4,Ca1 Ga4 O7,4.25223025,14.02470988,0.401514922,90.2,1024.7,2477,11.8,16.24333333,26.2,5.999301,10.4530595,13.61805,2.256362207,0.599158167,8,31,16.66666667,7,87,76,54.8,1115,225.8533333,2,16,13.83333333,2,4,2.833333333,66,176,93.83333333,1,3.44,2.693333333,2,2,2,0,4,2.666666667,0,10,3.333333333,0,0,0,9.105,37.77,14.74458333,1,2,1.916666667,15.9994,69.723,35.91381667,0.6,1.8,0.933333333,5.565881384
Ca1Ge1Mg1O4,62,5.66,91.9,Ca1 Ge1 Mg1 O4,3.59854128,13.25150282,0.542973855,90.2,939.1142857,3093,13.63,17.61,26.2,6.11316,10.87586071,13.61805,2.296822781,0.675569694,8,32,13.71428571,7,87,71.71428571,54.8,1211.4,495.5142857,2,16,11.71428571,2,4,2.714285714,66,176,100.1428571,1,3.44,2.582857143,2,2,2,0,4,2.571428571,0,10,1.428571429,0,0,0,9.105,37.77,17.155,1,2,1.714285714,15.9994,72.64,28.71722857,0.6,1.8,0.992857143,5.854542692
Ca1Ge1O3,62,10.22,163.6,Ca1 Ge1 O3,3.557028967,15.00553025,0.470820968,90.2,1024.12,3093,13.63,18.382,26.2,6.11316,10.973348,13.61805,2.337236198,0.662786241,8,32,15.2,7,87,69.4,54.8,1211.4,498.16,2,16,12.8,2,4,2.8,66,176,98.8,1,3.44,2.666,2,2,2,0,4,2.8,0,10,2,0,0,0,9.105,37.77,17.618,1,2,1.8,15.9994,72.64,32.14324,0.6,1.8,0.97,5.939372013
Ca1Ge1O5Zr1,2,11.32,78.7,Ca1 Ge1 O5 Zr1,4.289201569,13.74066345,0.479713735,90.2,1247.875,4682,13.63,17.58125,26.2,6.11316,11.0920925,13.61805,2.397891295,0.77941324,8,40,16.5,7,87,70.625,54.8,2128,591.05,2,16,12.5,2,5,2.875,66,176,100.125,1,3.44,2.6925,2,2,2,0,4,2.75,0,10,1.5,0,0,0,9.105,37.77,16.186875,1,3,2,15.9994,91.224,35.492375,0.6,1.8,0.95,6.802412787
Ca1Ge2O5,15,8.97,112.2,Ca1 Ge2 O5,4.865493388,11.32034074,0.500375615,90.2,1049.25,3093,13.63,17.5325,26.2,6.11316,11.25028375,13.61805,2.27891629,0.818669424,8,32,15.5,7,87,75,54.8,1211.4,476.475,2,16,13.75,2,4,2.75,66,176,93.25,1,3.44,2.7775,2,2,2,0,4,3,0,10,2.5,0,0,0,9.105,37.77,16.163125,1,2,1.875,15.9994,72.64,33.169375,0.6,1.8,0.9125,5.826720725
Ca1Hg1O2,166,9.93,59.2,Ca1 Hg1 O2,6.264986271,18.06763231,0.55867515,90.2,641.82,1757,14.09,18.7525,26.2,6.11316,10.94669,13.61805,2.556553286,0.617815151,8,80,29,7,87,63,54.8,1115,364.73,2,16,11.5,2,6,3.5,66,176,110,1,3.44,2.47,2,2,2,0,4,2,0,10,2.5,0,14,3.5,9.105,37.77,20.30439655,1,3,2,15.9994,200.59,68.1667,0.6,1.8,1.125,4.332397025
Ca1In2O4,141,20.82,118.8,Ca1 In2 O4,5.367326333,14.74906058,0.573839951,90.2,972.5428571,2345,15.76,18.16571429,26.2,5.78636,10.30829714,13.61805,2.429553833,0.830669188,8,49,21.42857143,7,87,72.14285714,54.8,1115,313.3857143,2,16,13.14285714,2,5,3.142857143,66,176,103.4285714,1,3.44,2.617142857,2,2,2,0,4,2.571428571,0,10,2.857142857,0,0,0,9.105,37.77,17.53,1,2,1.857142857,15.9994,114.818,47.67308571,0.6,1.8,1.042857143,5.312705511
Ca1In2P2,194,3.15,53.7,Ca1 In2 P2,4.342682661,25.36390339,0.504683101,550,1509.4,2345,15.76,18.352,26.2,5.78636,7.731852,10.48669,2.915459442,0.849193702,15,49,29.6,7,83,64.6,317.3,1115,521.82,2,15,11.6,3,5,4,107,176,134.8,1,2.19,1.788,2,2,2,0,3,1.6,0,10,4,0,0,0,22.5702381,37.77,26.28609524,1,2,1.8,30.973762,114.818,66.3323048,1,1.8,1.38,3.333376274
Ca1Mg1O4Si1,62,7.32,98,Ca1 Mg1 O4 Si1,2.957136985,12.55162259,0.543590344,90.2,950.5428571,3173,12.06,17.38571429,26.2,6.11316,10.91189643,13.61805,2.231671854,0.653869728,8,20,11.14285714,7,87,71.57142857,54.8,1687,563.4571429,2,16,11.71428571,2,4,2.571428571,66,176,98.85714286,1,3.44,2.567142857,2,2,2,0,4,2.571428571,0,0,0,0,0,0,9.105,37.77,16.78857143,1,2,1.714285714,15.9994,40.078,22.3523,0.6,1.8,0.971428571,6.470337918
Ca1Mg1O6Si2,15,9.5,90.6,Ca1 Mg1 O6 Si2,3.149491306,11.41741202,0.48299407,90.2,1000.72,3173,12.06,16.848,26.2,6.11316,11.1771055,13.61805,2.202260597,0.782953811,8,20,10.8,7,87,75.3,54.8,1687,574.08,2,16,12.8,2,4,2.5,66,176,93.5,1,3.44,2.675,2,2,2,0,4,2.8,0,0,0,0,0,0,9.105,37.77,15.617,1,2,1.8,15.9994,40.078,21.65504,0.6,1.8,0.91,6.666293006
Ca1Mg2N2,164,14.59,101.9,Ca1 Mg2 N2,2.885546666,13.43157857,0.819025866,77.36,927.544,1757,13.54,16.256,26.2,6.11316,10.094766,14.5341,2.444616861,0.850448997,7,20,11.6,7,82,61.4,63.05,1115,617.42,2,15,7.2,2,4,2.8,71,176,120,1,3.04,1.94,2,2,2,0,3,1.2,0,0,0,0,0,0,14.76875,37.77,22.6175,1,2,1.4,14.0067,40.078,23.34028,0.65,1.8,1.22,3.871819042
Ca1Mg2Sb2,164,2.93,39.8,Ca1 Mg2 Sb2,3.812302628,28.94021887,0.540724725,1363,1640.6,1860,14,18.116,26.2,6.11316,7.724482,8.60839,3.185997612,0.793466514,12,51,29.2,7,85,62.6,903.78,1115,953.712,2,15,7.2,3,5,4,139,176,147.2,1,2.05,1.544,2,2,2,0,3,1.2,0,10,4,0,0,0,22.89,37.77,29.334,1,2,1.4,24.305,121.76,66.4416,1.45,1.8,1.54,2.782620236
Ca1Mo6S8,2,1.42,28,Ca1 Mo6 S8,5.142210416,18.77772601,0.477727883,717.87,2464.797333,4912,9.38,13.78133333,26.2,6.11316,8.769854667,10.36001,2.789759088,0.79858571,16,42,26.66666667,7,88,67.4,388.36,2896,1439.858667,2,16,11.06666667,3,5,3.866666667,105,176,129.3333333,1,2.58,2.306666667,1,2,1.6,0,4,2.133333333,0,5,2,0,0,0,15.69,37.77,22.547,1,3,2.333333333,32.065,95.94,58.1492,1,1.8,1.233333333,5.585258379
Ca1N6,70,5.06,40.3,Ca1 N6,2.143818638,13.73404556,0.325896103,77.36,317.3085714,1757,13.54,15.34857143,26.2,6.11316,13.33110857,14.5341,2.253533934,0.570551236,7,20,8.857142857,7,82,71.28571429,63.05,1115,213.3285714,2,15,13.14285714,2,4,2.285714286,71,176,86,1,3.04,2.748571429,2,2,2,0,3,2.571428571,0,0,0,0,0,0,14.76875,37.77,18.05464286,1,2,1.857142857,14.0067,40.078,17.73117143,0.65,1.8,0.814285714,4.905029097
Ca1O1,227,8.47,104.7,Ca1 O1,3.286687964,14.16604108,0.894173715,90.2,923.6,1757,17.36,21.78,26.2,6.11316,9.865605,13.61805,2.419633,1.570796327,8,20,14,7,87,47,54.8,1115,584.9,2,16,9,2,4,3,66,176,121,1,3.44,2.22,2,2,2,0,4,2,0,0,0,0,0,0,9.105,37.77,23.4375,1,2,1.5,15.9994,40.078,28.0387,0.6,1.8,1.2,5.97738211
